range: +/- 4.096V
rate: 128 SPS
mux: AIN0 - AIN3
mode: Single
raw: [10010011 10000011]
Modulator output = 0
Waiting 10s...
zero crossing function
temp reading fn
i: 58.0, s: 50.0, e: -8.0, i: 0.0, d: 58.0, PT: -0.4, IT: 0.0, DT: 0.0, O: 0.000
i: 57.9, s: 50.0, e: -7.9, i: 0.0, d: 57.9, PT: -0.4, IT: 0.0, DT: 0.0, O: 0.000
i: 57.9, s: 50.0, e: -7.9, i: 0.0, d: 57.9, PT: -0.4, IT: 0.0, DT: 0.0, O: 0.000
i: 57.9, s: 50.0, e: -7.9, i: 0.0, d: 57.9, PT: -0.4, IT: 0.0, DT: 0.0, O: 0.000
i: 57.9, s: 50.0, e: -7.9, i: 0.0, d: 57.9, PT: -0.4, IT: 0.0, DT: 0.0, O: 0.000
i: 57.9, s: 50.0, e: -7.9, i: 0.0, d: 57.9, PT: -0.4, IT: 0.0, DT: 0.0, O: 0.000
i: 57.9, s: 50.0, e: -7.9, i: 0.0, d: 57.9, PT: -0.4, IT: 0.0, DT: 0.0, O: 0.000
i: 57.8, s: 50.0, e: -7.8, i: 0.0, d: 57.8, PT: -0.4, IT: 0.0, DT: 0.0, O: 0.000
i: 57.8, s: 50.0, e: -7.8, i: 0.0, d: 57.8, PT: -0.4, IT: 0.0, DT: 0.0, O: 0.000
i: 57.6, s: 50.0, e: -7.6, i: 0.0, d: 57.6, PT: -0.4, IT: 0.0, DT: 0.0, O: 0.000
i: 57.6, s: 50.0, e: -7.6, i: 0.0, d: 57.6, PT: -0.4, IT: 0.0, DT: 0.0, O: 0.000
i: 57.6, s: 50.0, e: -7.6, i: 0.0, d: 57.6, PT: -0.4, IT: 0.0, DT: 0.0, O: 0.000
i: 57.5, s: 50.0, e: -7.5, i: 0.0, d: 57.5, PT: -0.4, IT: 0.0, DT: 0.0, O: 0.000
i: 57.4, s: 50.0, e: -7.4, i: 0.0, d: 57.4, PT: -0.4, IT: 0.0, DT: 0.0, O: 0.000
i: 57.4, s: 50.0, e: -7.4, i: 0.0, d: 57.4, PT: -0.4, IT: 0.0, DT: 0.0, O: 0.000
i: 57.2, s: 50.0, e: -7.2, i: 0.0, d: 57.2, PT: -0.4, IT: 0.0, DT: 0.0, O: 0.000
i: 57.2, s: 50.0, e: -7.2, i: 0.0, d: 57.2, PT: -0.4, IT: 0.0, DT: 0.0, O: 0.000
i: 57.2, s: 50.0, e: -7.2, i: 0.0, d: 57.2, PT: -0.4, IT: 0.0, DT: 0.0, O: 0.000
i: 57.2, s: 50.0, e: -7.2, i: 0.0, d: 57.2, PT: -0.4, IT: 0.0, DT: 0.0, O: 0.000
i: 57.2, s: 50.0, e: -7.2, i: 0.0, d: 57.2, PT: -0.4, IT: 0.0, DT: 0.0, O: 0.000
i: 57.1, s: 50.0, e: -7.1, i: 0.0, d: 57.1, PT: -0.4, IT: 0.0, DT: 0.0, O: 0.000
i: 57.1, s: 50.0, e: -7.1, i: 0.0, d: 57.1, PT: -0.4, IT: 0.0, DT: 0.0, O: 0.000
i: 57.1, s: 50.0, e: -7.1, i: 0.0, d: 57.1, PT: -0.4, IT: 0.0, DT: 0.0, O: 0.000
i: 56.9, s: 50.0, e: -6.9, i: 0.0, d: 56.9, PT: -0.3, IT: 0.0, DT: 0.0, O: 0.000
