range: +/- 4.096V
rate: 128 SPS
mux: AIN0 - AIN3
mode: Single
raw: [10010011 10000011]
Modulator output = 0
Waiting 10s...
zero crossing function
temp reading fn
i: 48.4, s: 60.0, e: 11.6, i: 0.0, d: 48.4, PT: 0.4, IT: 0.0, DT: 62.4, O: 1.000
i: 48.4, s: 60.0, e: 11.6, i: 0.0, d: 48.4, PT: 0.4, IT: 0.0, DT: 62.4, O: 1.000
i: 48.4, s: 60.0, e: 11.6, i: 0.0, d: 48.4, PT: 0.4, IT: 0.0, DT: 62.4, O: 1.000
i: 48.4, s: 60.0, e: 11.6, i: 0.0, d: 48.4, PT: 0.4, IT: 0.0, DT: 62.4, O: 1.000
i: 48.4, s: 60.0, e: 11.6, i: 0.0, d: 48.4, PT: 0.4, IT: 0.0, DT: 62.4, O: 1.000
i: 48.4, s: 60.0, e: 11.6, i: 0.0, d: 48.4, PT: 0.4, IT: 0.0, DT: 62.4, O: 1.000
i: 48.4, s: 60.0, e: 11.6, i: 0.0, d: 48.4, PT: 0.4, IT: 0.0, DT: 62.4, O: 1.000
i: 48.4, s: 60.0, e: 11.6, i: 0.0, d: 48.4, PT: 0.4, IT: 0.0, DT: 62.4, O: 1.000
i: 48.4, s: 60.0, e: 11.6, i: 0.0, d: 48.4, PT: 0.4, IT: 0.0, DT: 62.4, O: 1.000
i: 48.4, s: 60.0, e: 11.6, i: 0.0, d: 48.4, PT: 0.4, IT: 0.0, DT: 62.4, O: 1.000
i: 48.4, s: 60.0, e: 11.6, i: 0.0, d: 48.4, PT: 0.4, IT: 0.0, DT: 62.4, O: 1.000
i: 48.4, s: 60.0, e: 11.6, i: 0.0, d: 48.4, PT: 0.4, IT: 0.0, DT: 62.4, O: 1.000
i: 48.4, s: 60.0, e: 11.6, i: 0.0, d: 48.4, PT: 0.4, IT: 0.0, DT: 62.4, O: 1.000
i: 48.5, s: 60.0, e: 11.5, i: 0.0, d: 48.5, PT: 0.4, IT: 0.0, DT: 62.5, O: 1.000
i: 48.6, s: 60.0, e: 11.4, i: 0.0, d: 48.6, PT: 0.4, IT: 0.0, DT: 62.6, O: 1.000
i: 48.6, s: 60.0, e: 11.4, i: 0.1, d: 48.6, PT: 0.4, IT: 0.0, DT: 62.7, O: 1.000
i: 48.8, s: 60.0, e: 11.2, i: 0.1, d: 48.8, PT: 0.4, IT: 0.0, DT: 62.8, O: 1.000
i: 48.9, s: 60.0, e: 11.1, i: 0.1, d: 48.9, PT: 0.4, IT: 0.0, DT: 63.1, O: 1.000
i: 49.1, s: 60.0, e: 10.9, i: 0.1, d: 49.1, PT: 0.4, IT: 0.0, DT: 63.3, O: 1.000
i: 49.3, s: 60.0, e: 10.7, i: 0.1, d: 49.3, PT: 0.4, IT: 0.0, DT: 63.6, O: 1.000
i: 49.4, s: 60.0, e: 10.6, i: 0.1, d: 49.4, PT: 0.4, IT: 0.0, DT: 63.6, O: 1.000
i: 49.7, s: 60.0, e: 10.3, i: 0.1, d: 49.7, PT: 0.4, IT: 0.0, DT: 64.0, O: 1.000
i: 50.0, s: 60.0, e: 10.0, i: 0.1, d: 50.0, PT: 0.4, IT: 0.0, DT: 64.5, O: 1.000
i: 50.2, s: 60.0, e: 9.8, i: 0.1, d: 50.2, PT: 0.4, IT: 0.0, DT: 64.7, O: 1.000
i: 50.7, s: 60.0, e: 9.3, i: 0.1, d: 50.7, PT: 0.3, IT: 0.0, DT: 65.3, O: 1.000
i: 50.9, s: 60.0, e: 9.1, i: 0.1, d: 50.9, PT: 0.3, IT: 0.0, DT: 65.6, O: 1.000
i: 51.4, s: 60.0, e: 8.6, i: 0.1, d: 51.4, PT: 0.3, IT: 0.0, DT: 66.2, O: 1.000
i: 51.7, s: 60.0, e: 8.3, i: 0.1, d: 51.7, PT: 0.3, IT: 0.0, DT: 66.6, O: 1.000
i: 52.1, s: 60.0, e: 7.9, i: 0.1, d: 52.1, PT: 0.3, IT: 0.0, DT: 67.1, O: 1.000
i: 52.4, s: 60.0, e: 7.6, i: 0.1, d: 52.4, PT: 0.3, IT: 0.0, DT: 67.6, O: 1.000
i: 52.9, s: 60.0, e: 7.1, i: 0.1, d: 52.9, PT: 0.3, IT: 0.0, DT: 68.2, O: 1.000
i: 53.4, s: 60.0, e: 6.6, i: 0.1, d: 53.4, PT: 0.2, IT: 0.0, DT: 68.8, O: 1.000
i: 53.9, s: 60.0, e: 6.1, i: 0.1, d: 53.9, PT: 0.2, IT: 0.0, DT: 69.4, O: 1.000
i: 54.2, s: 60.0, e: 5.8, i: 0.1, d: 54.2, PT: 0.2, IT: 0.0, DT: 69.8, O: 1.000
i: 54.8, s: 60.0, e: 5.2, i: 0.1, d: 54.8, PT: 0.2, IT: 0.0, DT: 70.6, O: 1.000
i: 55.1, s: 60.0, e: 4.9, i: 0.1, d: 55.1, PT: 0.2, IT: 0.0, DT: 71.0, O: 1.000
i: 55.7, s: 60.0, e: 4.3, i: 0.1, d: 55.7, PT: 0.2, IT: 0.0, DT: 71.8, O: 1.000
i: 56.2, s: 60.0, e: 3.8, i: 0.1, d: 56.2, PT: 0.1, IT: 0.0, DT: 72.4, O: 1.000
i: 56.8, s: 60.0, e: 3.2, i: 0.1, d: 56.8, PT: 0.1, IT: 0.0, DT: 73.2, O: 1.000
i: 57.4, s: 60.0, e: 2.6, i: 0.1, d: 57.4, PT: 0.1, IT: 0.0, DT: 74.0, O: 1.000
i: 57.9, s: 60.0, e: 2.1, i: 0.1, d: 57.9, PT: 0.1, IT: 0.0, DT: 74.7, O: 1.000
i: 58.5, s: 60.0, e: 1.5, i: 0.1, d: 58.5, PT: 0.1, IT: 0.0, DT: 75.4, O: 1.000
i: 59.0, s: 60.0, e: 1.0, i: 0.1, d: 59.0, PT: 0.0, IT: 0.0, DT: 76.1, O: 1.000
i: 59.6, s: 60.0, e: 0.4, i: 0.1, d: 59.6, PT: 0.0, IT: 0.0, DT: 76.8, O: 1.000
i: 60.1, s: 60.0, e: -0.1, i: 0.1, d: 60.1, PT: -0.0, IT: 0.0, DT: 77.5, O: 1.000
