range: +/- 4.096V
rate: 128 SPS
mux: AIN0 - AIN3
mode: Single
raw: [10010011 10000011]
Modulator output = 0
Waiting 10s...
zero crossing function
temp reading fn
i: 18.2500, s: 40.0000, e: 21.7500, i: 0.0174, d: 18.2500, PT: 0.8700, IT: 0.0174, DT: 38.3250, O: 0.0000
i: 18.2500, s: 40.0000, e: 21.7500, i: 0.0348, d: 0.0000, PT: 0.8700, IT: 0.0348, DT: 0.0000, O: 0.9048
i: 18.2500, s: 40.0000, e: 21.7500, i: 0.0522, d: 0.0000, PT: 0.8700, IT: 0.0522, DT: 0.0000, O: 0.9222
i: 18.2500, s: 40.0000, e: 21.7500, i: 0.0696, d: 0.0000, PT: 0.8700, IT: 0.0696, DT: 0.0000, O: 0.9396
i: 18.2500, s: 40.0000, e: 21.7500, i: 0.0870, d: 0.0000, PT: 0.8700, IT: 0.0870, DT: 0.0000, O: 0.9570
i: 18.2500, s: 40.0000, e: 21.7500, i: 0.1044, d: 0.0000, PT: 0.8700, IT: 0.1044, DT: 0.0000, O: 0.9744
i: 18.2500, s: 40.0000, e: 21.7500, i: 0.1218, d: 0.0000, PT: 0.8700, IT: 0.1218, DT: 0.0000, O: 0.9918
i: 18.2500, s: 40.0000, e: 21.7500, i: 0.1392, d: 0.0000, PT: 0.8700, IT: 0.1392, DT: 0.0000, O: 1.0000
i: 18.2500, s: 40.0000, e: 21.7500, i: 0.1566, d: 0.0000, PT: 0.8700, IT: 0.1566, DT: 0.0000, O: 1.0000
i: 18.2500, s: 40.0000, e: 21.7500, i: 0.1740, d: 0.0000, PT: 0.8700, IT: 0.1740, DT: 0.0000, O: 1.0000
i: 18.2500, s: 40.0000, e: 21.7500, i: 0.1914, d: 0.0000, PT: 0.8700, IT: 0.1914, DT: 0.0000, O: 1.0000
i: 18.2500, s: 40.0000, e: 21.7500, i: 0.2088, d: 0.0000, PT: 0.8700, IT: 0.2088, DT: 0.0000, O: 1.0000
i: 18.2500, s: 40.0000, e: 21.7500, i: 0.2262, d: 0.0000, PT: 0.8700, IT: 0.2262, DT: 0.0000, O: 1.0000
i: 18.2500, s: 40.0000, e: 21.7500, i: 0.2436, d: 0.0000, PT: 0.8700, IT: 0.2436, DT: 0.0000, O: 1.0000
i: 18.2500, s: 40.0000, e: 21.7500, i: 0.2610, d: 0.0000, PT: 0.8700, IT: 0.2610, DT: 0.0000, O: 1.0000
i: 18.3125, s: 40.0000, e: 21.6875, i: 0.2783, d: 0.0625, PT: 0.8675, IT: 0.2783, DT: 0.1313, O: 1.0000
i: 18.3125, s: 40.0000, e: 21.6875, i: 0.2957, d: 0.0000, PT: 0.8675, IT: 0.2957, DT: 0.0000, O: 1.0000
